Name,Place,Town Name,Phone Number,Overall Rating,Rating,Pricelist,Best Selling,Hot Trending,Average Daily Profit,Average Daily Customers,Most Crowded Day
Galito's Flame Grilled Chicken,"Lulu Shopping Mall, 3rd Floor, International, Salem - Kochi - Kanyakumari Hwy, Nethaji Nagar, Edappally, Ernakulam, Kerala 682024",Kochi,0484 406 3399,3.81,3.8,                ? 500 - 1000,dosa Ghee roast with sambar,Thalassery Biryani,125000,1000,Saturday
Tellicherry Kitchen,"Madathikunnel Complex, Kathrikkadav Junction, Kaloor - Kadavanthara Rd, Kochi, Kerala 682016",Kochi,099460 32444,4.43,4.4,                ? 500 - 1000,Mutton Biriyani,Bamboo Biriyani,130000,1050,Sunday
Brindhavan Vegetarian Restaurant,"43/3075, NH 66, near Hotel Rock Rose, Chakkalakkal, Palarivattom, Kochi, Kerala 682025",Kochi,095677 66366,3.88,3.8,                ? 500 - 1000,Ghee Roast,Masala Dosa,150000,1100,Monday
The Pepper Restaurant ,"Taj Malabar Resort & Spa, Cochin, Willingdon Island, Kochi, Kerala 682009",Kochi,0484 664 3000,4.27,4.2,                ? 500 - 1000,Al Faham Mandi,Pepper Chicken,50000,350,Tuesday
Kadaloram,"Hotel Abad Plaza, Mahatma Gandhi Rd, Shenoys, Kochi, Kerala 682035",Kochi,0484 414 4000,3.75,3.7,                ? 500 - 1000,Chattii Choru,Fish Biriyani,80000,700,Sunday
Nasi and Mee Asian Canteen,"Sree Narayanan seva sangam, 2nd Sahodaran building 66/6539 A.K.Sheshadri Road Ernakulam, Shenoys, Kochi, Kerala 682011",Kochi,0484 400 0231,4.27,4.2,                ? 500 - 1000,Prawns Noodles,Chicken Rice,45000,200,Saturday
Ambiswamy's Vegetarian Restaurant,"Mahatma Gandhi Rd, near Medical Trust Hospital, Pallimukku, Kochi, Kerala 682016",Kochi,090727 37003,3.75,3.7,                ? 500 - 1000,Veg Noodles,Veg Biriyani,50000,800,Saturday
Eatery,"No 67/2849, Old Railway Station Road, Kacheripady, Banerji Road, Ernakulam - 682018, Near Central Police Station ",Ernakulam,9037919801,4.21,4.2,                ? 500 - 1000,Fish Molee,Spicy Chicken Fry,50000,1000,Sunday
Gokul Oottuvura,"Ittys,Panampilly Nagar, Ernakulam",Ernakulam ,               0484 2310401,4.02,4,                      ? 0 - 500,Sadhya,Burger,50000,350,Saturday
Njettilla Vattayila ,"PT Usha Road, Ernakulam - 682016, Opposite Maharajas Stadium",Ernakulam ,7560866935,3.92,3.9,                        ? 0 - 500,Spicy Chicken Fry,Kappa Boti,80000,700,Wednesday
Mullapanthal Restaurant,"MLA Road, Mankaikavala, Udayamperoor, Ernakulam - 682307, Near Ameda Temple",Ernakulam ,               0484 2791227,4.15,4.1,                        ? 0 - 500,Kerala Prawn Curry,Parota with beef curry,45000,200,Thursday
Ceylon Bake House,"M G Road, Jos Junction, Ernakulam - 682016, Opposite To Avenue Regency",Ernakulam ,               0484 2366011,3.92,3.9,                        ? 0 - 500,Beef Fry,Chuttuli Meen ,50000,800,Tuesday
Pai Dosa in Edapally,"AS Tower, Edapally, Ernakulam - 682024, Behind LuLu Mall ",Ernakulam ,               0484 2801778,3.93,3.9,                        ? 0 - 500,Naadan Kozhi Curry,Death by Chocolate,50000,1000,Sunday
Ifthar Taste Of Real Malabar,"K K Building, Toll Junction, Edapally, Ernakulam - 682024, Opposite Pittappillil",Ernakulam ,               0484 2801157,4.04,4,                        ? 0 - 500,dosa Ghee roast with sambar,Kappa Puzhukku,100000,10000,Sunday
Erivum Pulium,"Banerji Road, Ernakulam - 682018, Near Saritha Theatre",Ernakulam ,               0484 4022211,3.86,3.8,                        ? 0 - 500,Karimeen Pollichathu ,Ghee Rice (NeyChoru),70000,650,Friday
O.ji.ka ,"Deshabhimani Karukappilly Road, Kaloor, Ernakulam - 682017, Opposite BSNL Office",Ernakulam ,9995550432,4.31,4.3,                        ? 0 - 500,Sea foods,Chuttuli Meen ,45000,300,Saturday
Aavi ,"Itty`s, Main Avenue, Panampilly Nagar, Ernakulam - 682036 ",Ernakulam ,               0484 6510510,4.03,4,                        ? 0 - 500,dosa Ghee roast with sambar,Thalassery Biryani,30000,250,Friday
Marhaba Restaurant,"Deshabhimani Road, Karukapilly, Kaloor, Ernakulam - 682017, Near Juma Masjid",Ernakulam ,9633767011,3.92,3.9,                        ? 0 - 500,Spicy Chicken Fry,Pizza,75000,500,Sunday
Binnammas Food Gallery,"Thammanam Vytilla Road, Thammanam, Ernakulam - 682032, Near to Riyan Studio",Ernakulam ,9747811811,4.11,4.1,                        ? 0 - 500,Naadan Kozhi Curry,Burger,80000,800,Wednesday
Ayswarya hotel ,"Albies Estate, Manorama Junction, Biulding, Ernakulam - 682016, Near South Over Bridge",Ernakulam ,9074041672,4.13,4.1,                        ? 0 - 500,Thalassery Biryani,kappa meen curry,60000,500,Tuesday
Fusion Bay Restaurant,"K B Jacob Road, Fort Road, Ernakulam - 682001, Near Santa Cruz Basilica Church",Ernakulam ,               0484 2217799,4.45,4.4,                 ? 500 - 1000,Sadhya,Kappa Boti,90000,300,Sunday 
Hotel Sehiyon Ootushala,"Pullapadi Road Pullapady Junction, Pullepady, Ernakulam - 682035",Ernakulam ,          0484 2369427,4.12,4.1,                        ? 0 - 500,Fish Molee,Death by Chocolate,100000,350,Friday
Hotel Anandas,"Padivattom, Ernakulam, Padivattom, Ernakulam - 682024",Ernakulam ,        0484 04858555,3.94,3.9,                        ? 0 - 500,Beef Fry,Kappa Puzhukku,100000,370,Tuesday
Blue Sea,"Edappally Raghavan Pillai Road, Edapally, Ernakulam - 682024, Near Gayathri Kalyana Mandapam",Ernakulam ,          0484 4055077,4.01,4,                        ? 0 - 500,dosa Ghee roast with sambar,Ghee Rice (NeyChoru),102000,450,Sunday 
Gokul Oottupura,"Marine Drive, Ernakulam - 682031, Opposite Ernakulathappan Temple, North Gate, KT Koshi Avenue ",Ernakulam ,          0484 2355115,4.25,4.2,                        ? 0 - 500,arimeen Pollichathu ,sandwhich,110000,500,Saturday
Tamr Cafe,"MG Road, Padma Junction, Ernakulam - 682035, Opposite Padma Theatre",Ernakulam ,          0484 4067867,4.07,4,                        ? 0 - 500,sea foods,Parota with beef curry,130000,550,Sunday
Kappem Puttum ,"Ponneth Temple Road, Kadavanthara, Ernakulam - 682020, Near Giridhar Eye Hospital ",Ernakulam ,9947908777,3.88,3.8,                       ? 0 - 500,Kerala Prawn Curry,Seafood ,45000,200,Sunday
Hotel Aryas ,"Medical, Pallimukku, Ernakulam - 682016",Ernakulam ,          0484 4041427,3.64,3.6,                       ? 0 - 500,Fish Molee,Burger,50000,350,Tuesday
The Kitchen ,"Pipeline Jn, Civil Line Road, Palarivattom, Ernakulam - 682025, Opp Kcbc ",Ernakulam ,          0484 4852992,3.97,3.9,                       ? 0 - 500,Beef Fry,kappa meen curry,80000,700,Sunday
Octopus Bakes & Bistro,"Three Junction, Piravom, Ernakulam - 686664, Near Fedral Bank ",Ernakulam ,996100908,4.18,4.1,                       ? 0 - 500,Naadan Kozhi Curry,Kappa Boti,70000,750,Saturday
Hotel Ceylon ,"Padma Junction, M G Road, Ernakulam - 682037, Opposite to City Hospital ",Ernakulam ,          0484 2354333,3.81,3.8,                       ? 0 - 500,Dosa Ghee Roast with Sambar,Parota with beef curry,90000,800,Wednesday
Pappadavada,"Kaloor, Ernakulam - 682017, Opposite Kaloor Bus Stand",Ernakulam ,964522111,3.79,3.7,                       ? 0 - 500,Karimeen Pollichathu ,Thalassery Biryani,95000,850,Friday
Malabar Plaza,"Toll Junction, Edapally, Ernakulam - 682024, Near Pittappillil Electronics & Lulu Mall",Ernakulam ,        0484 40116091,3.81,3.8,                       ? 0 - 500,Parota with beef curry,Seafood ,100000,900,Thursday
Aruvi Nature,"I S Press Road, Pulleppady Cross Road, Ernakulam - 682018, Near Income Tax Office ",Ernakulam ,9496044527,4.43,4.4,                       ? 0 - 500,Idli Sambhar,Fried Prawns,120000,950,Monday
Beeyems Restaurant,"Ground Floor, Mankayi Junction, Udayamperoor, Ernakulam - 682307, Oppo Cherupushpam Studio",Ernakulam ,          0484 6555369,3.88,3.8,                       ? 0 - 500,Sea Foods,Chuttuli Meen ,125000,1000,Wednesday
Hotel Salala,"Convent Road, Chettichira, Ponnuruni, Poonithura, Ernakulam - 682038",Ernakulam ,995228830,4.27,4.2,                        ? 0 - 500,dosa Ghee roast with sambar,Ghee Rice (NeyChoru),130000,1050,Sunday
Hungry Birds,Ernakulam - 682022,Ernakulam ,7594885555,3.75,3.7,                        ? 0 - 500,Fish Molee,sandwhich,150000,1100,Thursday
Malabar Food Court,"Opposite AlMeen School, Edapally, Ernakulam - 682024, Near Lulu Mall ",Ernakulam ,          0484 6407111,3.85,3.8,                 ? 500 - 1000,Sea Foods,Seafood ,50000,350,Wednesday
Malabar Grills ,"Amaravathi Road, Fort Road, Ernakulam - 682001, Near ",Ernakulam ,          0484 2218567,3.75,3.7,                        ? 0 - 500,Kappa and Meen Curry,Fried Prawns,80000,700,Saturday
Malabar Plaza,"Hotel Malabar Plaza, SRM Road Junction, Ernakulam North, Ernakulam - 682018, Near North Railway Station 2nd Platform",Ernakulam ,          0484 4028490,3.66,3.6,                        ? 0 - 500,Kerala Prawn Curry,Chuttuli Meen ,45000,200,Thursday
Masafi Restaurant,"3-953, Hayad Building, M G Road, Ernakulam - 682037, Near SBI ",Ernakulam ,          0484 4861054,3.86,3.8,                        ? 0 - 500,Appam with Stew,Thalassery Biryani,50000,800,Friday
Vanitha Homely Meals,"G135, 3rd Cross Road, Panampilly Nagar, Ernakulam - 682036, Near Union Bank & Supplico",Ernakulam ,9961077010,4.32,4.3,                        ? 0 - 500,Fish Molee,Burger,50000,1000,Sunday
Thamam Restaurant,"No. 412, Thaman Hotel, Edapally Flyover Byepass Junction, Edapally, Ernakulam - 682024, Near Lulu Mall",Ernakulam ,          0484 2801590,3.55,3.5,                        ? 0 - 500,Kerala Prawn Curry,Pizza,50000,350,Saturday
Uruli ,"Time Square Business Hotel, Club Road, MG Road, Club Road-ernakulam South, Ernakulam - 682011, Near Collector's Camp Office ",Ernakulam ,          0484 2374488,3.96,3.9,                        ? 0 - 500,Kappa and Meen Curry,Mutta Chikkiyathu – Scrambled Eggs,80000,700,Sunday
Malabar Canteen,"Kathrikadavu Road, Coorperation Building, Kaloor, Ernakulam - 682017 ",Ernakulam ,9995064440,3.76,3.7,                        ? 0 - 500,Naadan Kozhi Curry,Kappa Boti,45000,200,Thursday
Crystal Kitchen,"Edapally Signal Junction, Edapally, Ernakulam - 682024, Near MAJ Hospital and Bye Road ",Ernakulam ,          0484 2349960,3.53,3.5,                        ? 0 - 500,dosa Ghee roast with sambar,Parota with beef curry,50000,800,Saturday
Calavaras Hot Pot,"Kads Market, Padivattom, Eranakulam, Kochi, Civil Line Road, Vennala, Ernakulam - 682028",Ernakulam ,9619677826,4.52,4.5,                 ? 500 - 1000,arimeen Pollichathu ,Thalassery Biryani,50000,1000,Tuesday
Hotel Unnikrishna ,"Church Landing Road, Pallimukku, Ernakulam - 682016",Ernakulam ,          0484 2380594,3.81,3.8,                        ? 0 - 500,Parota with beef curry,Seafood ,100000,10000,Sunday
Cinema Cafe,"No.42/2091, K K Padmanabhan Road, Ernakulam North, Ernakulam - 682018, Near Smart Super Market ",Ernakulam ,          0484 6444234,4.17,4.1,                        ? 0 - 500,Idli Sambhar,Fried Prawns,70000,750,Saturday
Swaadh ,"Panayappilly, Chullickal, Fort, Chullickal, Ernakulam - 682005, Near Petrol Pump",Ernakulam ,          0484 4011567,3.55,3.5,                        ? 0 - 500,sea foods,Chuttuli Meen ,90000,800,Friday
Ummis Kitchen ,"Shop No.39/931, Ground Floor, Ernakulam South, Ernakulam - 682011, Near South Railway Station ",Ernakulam ,          0484 2377711,3.94,3.9,                       ? 0 - 500,Fish Molee,Burger,95000,850,Saturday
Aaharam,"Banerji Road, Kaloor, Ernakulam - 682017, Behind Kaloor Metro Station(Towards Aluva) , Bes Ide Dhanalaxmi Bank",Ernakulam,          0484 3306355,3.51,3.5,                       ? 0 - 500,Kerala Prawn Curry,kappa meen curry,80000,700,Sunday
Hotel Malabar Plaza ,"Ground Floor, Malabar Plaza, Durbar Hall Road, Ernakulam - 682016, Next to DBM Hall, Opposite Ernakulathappan Ground",Ernakulam,          0484 2355900,4.03,4,                ? 500 - 1000,Fish Molee,Thalassery Biryani,70000,750,Sunday
Eat N Park Hotel,"Kaloor, Ernakulam - 682017, Opposite TVS Automobiles, Near Stadium",Ernakulam,          0484 4047125,3.82,3.8,                       ? 0 - 500,Beef Fry,Seafood ,90000,800,Saturday
Mappilakada,"Amrita Nagar, Edappally, Ernakulam - 682024 ",Ernakulam,9995533331,4.25,4.2,                       ? 0 - 500,Spicy Chicken Fry,Sandwich,95000,850,Tuesday
Aruvi Nature Life,"I S Press ROAd, Kacheripady, Ernakulam, Kerala, Tatapuram, Ernakulam - 682018",Ernakulam,9496044527,4.42,4.4,                        ? 0 - 500,arimeen Pollichathu ,Fried Prawns,100000,900,Saturday
Ifthar,"Sonia Nagar, Palarivattom, Thammanam Road, Palarivattom, Ernakulam - 682025, V Mart Building",Vazhakkala,7736920078,3.91,3.9,                       ? 0 - 500,dosa Ghee roast with sambar,Ghee Rice (NeyChoru),120000,950,Saturday
Paradise Hotel,"Ground Floor, Civil Line Road, Palarivattom, Ernakulam - 682025, Near S L Plaza",Vazhakkala,               0484 2340670,3.93,3.9,                        ? 0 - 500,Parota with beef curry,Seafood ,125000,1000,Wednesday
Thakkaaram Restaurant ,"Nh 66, Bypass, Chakkalakkal, Kochi, Palarivattom,Ernakulam - 682025, Opposite Emc",Vazhakkala,8593084422,4.03,4,                ? 500 - 1000,Thalassery Biryani,Pizza,130000,1050,Sunday 
Rappais Thattinpuram,"Palarivattom, Ernakulam - 682025 ",Vazhakkala,9895604323,3.67,3.6,                        ? 0 - 500,Idli Sambhar,Thalassery Biryani,150000,1100,Tuesday
Hotel Jaybees,"Civil Lane Road, Palarivattom, Ernakulam - 682025, Near City Silks",Vazhakkala,          0484 2333544,3.64,3.6,                       ? 0 - 500,dosa Ghee roast with sambar,Ghee Rice (NeyChoru),50000,350,Sunday
Rolexio Restaurant ,"National Highway Maamangalam, Palarivattom, Ernakulam - 682025, Near Metro Piller 484 ",Vazhakkala,          0484 2340118,4.22,4.2,                ? 500 - 1000,Naadan Kozhi Curry,burger,85000,800,Friday
Hotel Abida,"Vazhakkala, Ernakulam - 682021, Near Kappeala",Vazhakkala,9526721907,4.09,4,                       ? 0 - 500,Thattu Dosa with Chutney,kappa meen curry,120900,1500,Thursday
Bolgatty Palace Restaurant,"Bolgatty Palace and Island Resort KTDC, Mulavukadu, Vypin, Ernakulam - 682010",Mulavukad,               0484 2450500,4.24,4.2,               ? 1000 - 2000,Appam with Stew,Kappa Meen Curry,60000,690,Friday
Vellakkanthaari Restaurant ,"National Highway 966A near ponnarimangalam toll plaza, Mulavukad, Ernakulam, Kerala 682504",Mulavukad,088914 35587,3.72,3.7,                ? 500 - 1000,Fish Molee,Thalassery Biryani,209000,3500,Saturday
Paathiraputtu seafood restaurant,"Mulavukad, NH966A, Ponnarimangalam, Ernakulam, Kerala 682504",Mulavukad,9889012333,3.82,3.8,                ? 500 - 1000,Beef Fry,Seafood ,80000,700,Sunday
C Fine Sea food floating Restaurant,"27M3+J3J, Mulavukad, Kochi, Kerala 682504",Mulavukad,9998887770,3.91,3.9,                ? 500 - 1000,Spicy Chicken Fry,Sandwich,70000,750,Monday
Hotel Mom's Kitchen,"Bolgatty, Ernakulam, Kerala 682504",Mulavukad,8212312990,4.01,4,                ? 500 - 1000,arimeen Pollichathu ,Fried Prawns,90000,800,Tuesday
Surya Kudumbasree Restaurant," Bolgatty Palace Road,Opposite of Lulu Convention Centre, Mulavukadu, P.O, Bolgatty, Ernakulam, Kerala 682504",Mulavukad,9594976342,3.84,3.8,                ? 500 - 1000,dosa Ghee roast with sambar,Ghee Rice (NeyChoru),95000,850,Wednesday
Neft Tropical Hut Cochin,"post office and Union bank of India, opposite mulanthuruthy, Mulanthuruthy, Kerala 682314",Mulanthuruthy,095395 10000,4.18,4.1,                ? 500 - 1000,Parota with beef curry,Seafood ,100000,900,Thursday
KUK DOO KOO Barbeque,"Chottanikkara Mulanthuruthy Rd, near Bevco Outlet, opposite Yamaha showroom, Pallithazham, Mulanthuruthy, Kerala 682314",Mulanthuruthy,079942 22255,3.95,3.9,                ? 500 - 1000,Thalassery Biryani,Pizza,60000,500,Friday
Hotel Ayanam,"Mulanthuruthy - Arakkunnam Rd, Karavottakiriz, Mulanthuruthy, Kerala 682314",Mulanthuruthy,0484 274 0263,4.01,4,                ? 500 - 1000,Idli Sambhar,Thalassery Biryani,90000,300,Saturday
Hotel Aryas,"W92M+4QF, Pallithazham, Mulanthuruthy, Kerala 682314",Mulanthuruthy,9990006878,3.53,3.5,                ? 500 - 1000,dosa Ghee roast with sambar,Ghee Rice (NeyChoru),100000,350,Sunday
?????? ???????,"V9XM+QQC, Mulanthuruthy Kanjiramattom Rd, Pallithazham, Mulanthuruthy, Kerala 682314",Mulanthuruthy,8078730090,3.62,3.6,                ? 500 - 1000,Naadan Kozhi Curry,burger,100000,370,Monday
Gramin Food,"Injimala Injimala, Kerala 682314",Mulanthuruthy,095267 55077,4.07,4,                ? 500 - 1000,Thattu Dosa with Chutney,kappa meen curry,102000,450,Tuesday
Saravanabhavan,"W93P+78G, Pallithazham, Mulanthuruthy, Kerala 682314",Mulanthuruthy,9800340770,4.13,4.1,                ? 500 - 1000,Appam with Stew,Kappa Meen Curry,110000,500,Wednesday
D Lite Restaurant,"Post Box No.2, Pallithazham, Kochi, Chottanikkara Road, Mulanthuruthy, Ernakulam - 682314",Mulanthuruthy,9446752608,3.72,3.7,                ? 500 - 1000,Thattu Dosa with Chutney,Seafood ,130000,550,Monday
MaxFun,"Seaport - Airport Rd, Irumpanam, Thrippunithura, Ernakulam, Kerala 682309",Thrippunithura,094976 10339,3.82,3.8,                ? 500 - 1000,Porotta with Beef Roast,Biriyani,45000,200,Tuesday
HOTEL SREE SARAVANA BHAVAN,"North Fort Gate, Vadakkekotta, Thrippunithura, Kochi, Kerala 682301",Thrippunithura,085908 88840,3.91,3.9,                ? 500 - 1000,Masala Dosa,Ghee Roast,50000,350,Sunday
The LMN,"Elamana Jetty Road Opp Royal Enclave apartments, Kottakakom, Thrippunithura, Kochi, Kerala 682301",Thrippunithura,098955 56960,4.01,4,                ? 500 - 1000,Beef Burger,Chicken Sandwich,80000,700,Monday
Thakkaaramanthi House,"NH 47 Bypass, Vyttila, Ernakulam - 682019, Opposite Gold Souk Grande Mall",Thrippunithura,9526442266,3.84,3.8,                ? 500 - 1000,Fish Molee,Fried Prawns,70000,750,Wednesday
Captain Fisher,"C/o MJM International Hotel, Vyttila, Ernakulam - 682019, Opposite Silver Sand Island ",Thrippunithura,          0484 2301407,4.18,4.1,                 ? 500 - 1000,Kappa and Meen Curry,Thalassery Biryani,90000,800,Wednesday
Supreme Uppercrust ,"48/604/B, Vacha Square, Ernakulam Circle, Vyttila, Vyttila, Vyttila, Ernakulam - 682019, Near Idea Cellular",Thrippunithura,          0484 2807222,3.95,3.9,                        ? 0 - 500,dosa Ghee roast with sambar,Death by Chocolate,95000,850,Friday
Royal Bakers,"Kochi Madurai Dhanushkodi Road, Tripunithura, Ernakulam - 682301, Nera Damro",Thrippunithura,9745700043,4.01,4,                        ? 0 - 500,Thalassery Biryani,Kappa Boti,100000,900,Tuesday
Anjappar,"Vyttila, Ernakulam - 682019, Near Afters Bakery, Behind Gold's Gym",Thrippunithura,7356663636,3.53,3.5,                       ? 0 - 500,Beef Fry,Parota with beef curry,120000,950,Tuesday
Hotel Hill View,"Hill Palace Road, Tripunithura, Ernakulam - 682301, Near Hill Palace Museum",Thrippunithura,9447078208,3.62,3.6,                       ? 0 - 500,Naadan Kozhi Curry,Thalassery Biryani,125000,1000,Sunday
Kumbalangikkaran Restaurant,"Kumbalangi Road, Kumbalangi, Marad, Ernakulam - 682010",Maradu,7034375679,4.07,4,                        ? 0 - 500,Kappa and Meen Curry,Kappa Puzhukku,130000,1050,Wednesday
Sarovaram Restaurant,"C/O Sarovaram Hotel, NH 47 Cochin Bypass, Maradu, Ernakulam - 682304, Opposite to Volkswagen",Maradu,               0484 2305519,4.13,4.1,                        ? 0 - 500,Kappa and Meen Curry,Kappa Boti,150000,1100,Sunday
RAMEES RESTAURANT,"@ The WHYTEFORT HOTEL, Service Rd, Vijaya Nagar, Jaya Nagar, Maradu, Ernakulam, Kerala 682304",Maradu,075104 66666,4.21,4.2,                ? 500 - 1000,Kuzhi Manthi,Al Faham,50000,350,Monday
Arabian Food Court,"W8PC+X9P, Maradu Post Office, Kochi - Dhanuskodi Road, Kundannnor, Vikas Nagar, Maradu, Ernakulam, Kerala 682304",Maradu,8007002390,3.43,3.4,                ? 500 - 1000,Beef Biriyani,Porotta,80000,700,Tuesday
Aroma,"W8M9+PHR, Unnamed Road, Maradu, Ernakulam, Kerala 682304",Maradu,0484 286 5000,4.5,4.5,                ? 500 - 1000,Chilly Pork,Schezwan Chicken Fried Rice,45000,200,Wednesday
Anoop Restaurant,"W8QG+G8W, Maradu, Ernakulam, Kerala 682304",Maradu,099471 40206,3.73,3.7,                ? 500 - 1000,Grilled Chicken,Mixed Fried Rice,50000,800,Thursday
Empire Plaza,"NH 47, Vytila, Kundannur, 682 304, Aroor - Thoppumpady Rd, Kochi, Kerala",Maradu,8909897860,4.1,4,                ? 500 - 1000,Chilly Pork,Schezwan Chicken Fried Rice,50000,1000,Friday
Curry Klub,"Maradu North, Maradu, Ernakulam, Kerala 682304",Maradu,081369 23332,4.52,4.5,                ? 500 - 1000,Grilled Chicken,Mixed Fried Rice,50000,350,Saturday
Vadakkeyattam Puttu Kada,"Kumbalam, Ernakulam, Kerala 682506, India, Kumbalam Jetty Road, Kumbalam Ernakulam, Ernakulam - 682506",Kumbalangy,9037102255,4.63,4.6,                        ? 0 - 500,Thattu Dosa with Chutney,Pizza,80000,700,Thursday
Kayaloram Restaurant,"North Kumbalangi, Kumbalangi, Kumbalangi, Ernakulam - 682007 ",Kumbalangy,8891018014,4.45,4.4,                        ? 0 - 500,Fish Molee,Seafood ,45000,200,Wednesday
Athazham restaurant,"Kumbalangi Rd, near Roney's Shope, Pazhangad, Kumbalangi, Kochi, Kerala 682007",Kumbalangy,9887990067,3.73,3.7,                ? 500 - 1000,Chilly Pork,Schezwan Chicken Fried Rice,50000,800,Thursday
Arabic Resto,"Kumbalangi Rd, North Kumbalangi, Kumbalangi, Kochi, Kerala 682007",Kumbalangy,096335 59026,4.1,4,                ? 500 - 1000,Grilled Chicken,Mixed Fried Rice,50000,1000,Friday
Kumbalanghi grills,"762, Kumbalangi Rd, North Kumbalangi, Kumbalangi, Kochi, Kerala 682007",Kumbalangy,8907812113,4.52,4.5,                ? 500 - 1000,Chilly Pork,Schezwan Chicken Fried Rice,100000,10000,Saturday
Biryani Kada,"V7JQ+22C, Kumbalangi, Kochi, Kerala 682007",Kumbalangy,094470 70543,4.63,4.6,                ? 500 - 1000,Grilled Chicken,Mixed Fried Rice,70000,650,Sunday
Hotel Nandanam,"G B Towers, Velloorkunnam, Muvattupuzha Market, Ernakulam - 686673, Near Shiva Temple",Muvattupuzha,9846461506,3.83,3.8,                        ? 0 - 500,Kappa and Meen Curry,Death by Chocolate,45000,300,Sunday
MALABAR VILLAGE RESTAURANT,"XHHJ+C89, Thottumkalpeedika, Muvattupuzha, Kerala 686661",Muvattupuzha,079027 84784,4.18,4.1,                ? 500 - 1000,Chicken Biriyani,Beef Biriyani,30000,250,Monday
Hotel Dhanya,"XHRH+35F, SH 1, Velloorkunnam, Muvattupuzha, Kerala 686673",Muvattupuzha,098958 92286,3.95,3.9,                ? 500 - 1000,Chicken Noodles,,75000,500,Tuesday
Kitchen Caravan Speciality Restaurant,"East High School, Kizhakkekara Road, Companypady Road, Muvattupuzha, Kerala 686661",Muvattupuzha,099468 08028,4.01,4,                ? 500 - 1000,Fish Biriyani,Mixed Fried Rice,80000,800,Wednesday
Hotel Kattappa,"SH 1, Velloorkunnam, Vazhappily, Muvattupuzha, Kerala 686673",Muvattupuzha,9947755676,3.53,3.5,                ? 500 - 1000,Chicken Biriyani,Egg Noodles,65000,750,Thursday
Al Reem Food Court,"SH 1 Vazhappily-Pezhakkappilly, Muvattupuzha, Kerala 686673",Muvattupuzha,090484 10410,3.62,3.6,                ? 500 - 1000,Chicken Kuzhimandi,Beef Mandi,50000,190,Friday
Rajeswary Vegetarian Restaurant,"Basement Floor, Rajeswari Building, Kacherithazham Junction, SH 1, MC Rd, Thottumkalpeedika, Muvattupuzha, Kerala 686673",Muvattupuzha,093886 14356,4.07,4,                ? 500 - 1000,Masala Dosa,Veg Meals,70000,300,Saturday
Beach Way Restaurant ,"Kalluchira, Paravur, Ernakulam - 683513, Near Cherai Bridge",Paravur,          0484 2446181,4.13,4.1,                 ? 500 - 1000,Kerala Prawn Curry,Kappa Puzhukku,90000,700,Friday
Slice of Spice,"Pallithazham North Paravoor, Kerala 683513, North Paravoor, Kochi, Kerala 683513",Paravur,097448 86007,4.01,4,                ? 500 - 1000,Schezwan Chicken Fried Rice,Schezwan Egg Noodles,105000,1200,Saturday
Khalifa Restaurant,"46WH+VGF, Canal Rd, North Paravur, Kerala 683513",Paravur,8593209022,3.84,3.8,                ? 500 - 1000,Kappa and Meen Curry,Thalassery Biryani,70000,650,Sunday
The Second Wife Restaurant,"46WJ+3X3, Limited stop Bus Terminal, North Paravur, Kerala 683513",Paravur,9526415555,4.18,4.1,                ? 500 - 1000,dosa Ghee roast with sambar,Death by Chocolate,45000,300,Monday
Chimney Heritage Restaurant,"Chendamangalam Junction, North Paravur, Kerala 683513",Paravur,9496979833,3.95,3.9,                ? 500 - 1000,Thalassery Biryani,Kappa Boti,30000,250,Tuesday
Hotel Vasantha Vihar,"656, Main Road, North Paravoor, North Paravur, Kerala 683513",Paravur,0484 311 9121,4.01,4,                ? 500 - 1000,Beef Fry,Parota with beef curry,75000,500,Wednesday
Golden Palace,"46WM+RXP, Pullamkulam Road, North Parur, Kochi, Kerala 683513",Paravur,8151857766,3.53,3.5,                ? 500 - 1000,Naadan Kozhi Curry,Thalassery Biryani,90000,5500,Thursday
Mallu's Dhaba Cochin Airport," Nedumbassery, Kerala 683111",Nedumbassery,8592915000,4,3.85,?1000-2000,Veg Noodles,Chicken Biriyani,95000,8000,Sunday
OVA Restaurant,"596P+39J, Airport Rd, opp. Cochin International Airport, Nedumbassery, Kerala 683111",Nedumbassery,099463 00334,3.8,3.5,?500-1000,Beef Fry,Mixed Fried Rice,100000,9500,Saturday
Tasty Ride Restaurant,"Nedumbassery, Kerala 683111",Nedumbassery,9856437210,4.3,4,?1000-2000,Fish Molee,Schezwan Egg Noodles,74000,5000,Wednesday
Noushad hotel,"4C5H+F6W, Marampally, Kerala, India",Marampilly,9876543210,2.87,2.5,?0-500,Idli Sambhar,meals,53000,650,Monday
